"Modified Julian Date","Detection","Upper Limit","Error (low)","Error (high)"
58081.49995370349,0.0000481,,0.0000375,0.0000587
58088.49995370349,0.0000661,,0.0000536,0.0000786
58095.49995370349,0.0000449,,0.0000326,0.0000572
58102.49995370349,0.0000317,,0.0000167,0.0000467
58109.49995370349,0.000038,,0.0000222,0.0000538
58116.49995370349,0.0000301,,0.0000167,0.0000435
58123.49995370349,0.0000245,,0.0000133,0.0000357
58130.49995370349,0.000038,,0.0000274,0.0000486
58137.49995370349,0.0000315,,0.0000216,0.0000414
58144.49995370349,0.0000502,,0.0000387,0.0000617
58151.49995370349,0.0000598,,0.000044,0.0000756
58158.49995370349,0.0000552,,0.0000372,0.0000732
58165.49995370349,0.000096,,0.0000705,0.000121
58172.49995370349,0.000089,,0.0000686,0.000109
58179.49995370349,0.00013,,0.000112,0.000148
58186.49995370349,0.000177,,0.00016,0.000194
58193.49995370349,0.000281,,0.000247,0.000315
58214.49995370349,0.0000768,,0.0000574,0.0000962
58221.49995370349,0.0000442,,0.0000325,0.0000559
58228.49995370349,0.0000275,,0.0000202,0.0000348
58235.49995370349,0.0000317,,0.0000246,0.0000388
58249.49995370349,0.0000397,,0.0000185,0.0000609
58256.49995370349,0.0000432,,0.0000343,0.0000521
58263.49995370349,0.0000649,,0.0000532,0.0000766
58270.49995370349,0.0000505,,0.0000391,0.0000619
58277.49995370349,0.0000267,,0.0000181,0.0000353
58284.49995370349,0.0000252,,0.0000179,0.0000325
58291.49995370349,0.0000324,,0.0000092,0.0000556
58298.49995370349,0.0000383,,0.000031,0.0000456
58305.49995370349,0.0000678,,0.0000571,0.0000785
58312.49995370349,0.0000514,,0.0000407,0.0000621
58319.49995370349,0.000108,,0.0000896,0.000126
58326.49995370349,0.0000559,,0.0000423,0.0000695
58333.49995370349,0.0000482,,0.0000279,0.0000685
58347.49995370349,0.0000292,,0.0000215,0.0000369
58354.49995370349,0.0000348,,0.0000273,0.0000423
58361.49995370349,0.0000444,,0.0000313,0.0000575
58368.49995370349,0.0000581,,0.0000437,0.0000725
58375.49995370349,0.0000236,,0.0000078,0.0000394
58382.49995370349,,0.000121,,
58389.49995370349,,0.114,,
58396.49995370349,0.0000405,,0.0000277,0.0000533
58403.49995370349,0.0000454,,0.0000379,0.0000529
58410.49995370349,0.0000292,,0.0000218,0.0000366
58417.49995370349,0.0000447,,0.0000284,0.000061
58424.49995370349,0.0000491,,0.0000339,0.0000643
58431.49995370349,0.0000327,,0.0000201,0.0000453
58438.49995370349,0.0000444,,0.0000329,0.0000559
58445.49995370349,,0.000177,,
58452.49995370349,0.0000489,,0.0000388,0.000059
58459.49995370349,0.0000153,,0.000005,0.0000256
58466.49995370349,,0.0000276,,
58473.49995370349,0.0000223,,0.0000135,0.0000311
58480.49995370349,0.0000132,,0.00000487,0.0000215
58487.49995370349,0.0000385,,0.0000238,0.0000532
58494.49995370349,0.0000248,,0.0000148,0.0000348
58501.49995370349,0.0000315,,0.0000228,0.0000402
58508.49995370349,0.0000109,,0.00000322,0.0000186
58515.49995370349,0.0000165,,0.0000093,0.0000237
58522.49995370349,,0.0000221,,
58529.49995370349,,0.0000197,,
58536.49995370349,0.0000161,,0.0000055,0.0000267
58543.49995370349,0.0000274,,0.0000166,0.0000382
58550.49995370349,0.0000397,,0.0000297,0.0000497
58557.49995370349,0.0000314,,0.000022,0.0000408
58564.49995370349,0.000038,,0.0000287,0.0000473
58571.49995370349,0.0000204,,0.0000101,0.0000307
58578.49995370349,0.0000393,,0.0000234,0.0000552
58585.49995370349,0.0000536,,0.0000389,0.0000683
58592.49995370349,0.0000244,,0.000015,0.0000338
58599.49995370349,0.0000373,,0.0000275,0.0000471
58606.49995370349,0.0000809,,0.0000683,0.0000935
58613.49995370349,0.0000625,,0.0000519,0.0000731
58620.49995370349,0.0000791,,0.0000662,0.000092
58627.49995370349,0.0000642,,0.0000502,0.0000782
58634.49995370349,0.0000429,,0.0000309,0.0000549
58641.49995370349,0.0000571,,0.0000447,0.0000695
58648.49995370349,0.000127,,0.000108,0.000146
58655.49995370349,0.000175,,0.000155,0.000195
58662.49995370349,0.000142,,0.000125,0.00016
58669.49995370349,0.000114,,0.0000994,0.000129
58676.49995370349,0.0000816,,0.0000706,0.0000926
58683.49995370349,0.0000883,,0.0000732,0.000103
58690.49995370349,0.0000731,,0.0000562,0.00009
58697.49995370349,0.0000523,,0.0000364,0.0000682
58704.49995370349,0.000107,,0.0000908,0.000123
58711.49995370349,0.0000514,,0.0000403,0.0000625
58718.49995370349,0.0000421,,0.0000319,0.0000523
58725.49995370349,0.0000924,,0.0000787,0.000106
58732.49995370349,0.0000637,,0.0000507,0.0000767
58739.49995370349,0.0000564,,0.0000423,0.0000705
58746.49995370349,0.0000456,,0.000032,0.0000592
58753.49995370349,0.0000446,,0.0000331,0.0000561
58760.49995370349,0.0000437,,0.0000331,0.0000543
58767.49995370349,0.0000571,,0.0000443,0.0000699
58774.49995370349,0.0000574,,0.0000442,0.0000706
58781.49995370349,0.0000757,,0.0000606,0.0000908
58788.49995370349,0.0000573,,0.0000409,0.0000737
58795.49995370349,0.0000827,,0.0000658,0.0000996
58802.49995370349,0.0000562,,0.0000426,0.0000698
58809.49995370349,0.0000429,,0.0000325,0.0000533
58816.49995370349,0.000035,,0.0000242,0.0000458
58823.49995370349,0.0000543,,0.0000433,0.0000653
58830.49995370349,0.0000491,,0.0000358,0.0000624
58837.49995370349,0.0000382,,0.0000274,0.000049
58844.49995370349,0.0000189,,0.00000911,0.0000287
58851.49995370349,0.0000147,,0.00000501,0.0000244
58858.49995370349,0.0000179,,0.0000066,0.0000292
58865.49995370349,0.0000296,,0.0000185,0.0000407
58872.49995370349,0.0000301,,0.0000199,0.0000403
58879.49995370349,0.0000398,,0.0000292,0.0000504
58886.49995370349,0.0000385,,0.0000304,0.0000466
58893.49995370349,0.0000304,,0.0000211,0.0000397
58900.49995370349,0.0000533,,0.0000353,0.0000713
58907.49995370349,0.0000618,,0.0000449,0.0000787
58914.49995370349,0.0000565,,0.000043,0.00007
58921.49995370349,,0.000021,,
58928.49995370349,0.0000435,,0.0000333,0.0000537
58935.49995370349,0.0000291,,0.0000193,0.0000389
58942.49995370349,0.0000202,,0.0000101,0.0000303
58949.49995370349,0.0000399,,0.0000207,0.0000591
58956.49995370349,0.000131,,0.00011,0.000152
58963.49995370349,0.00012,,0.000102,0.000138
58970.49995370349,0.0000925,,0.0000765,0.000108
58977.49995370349,0.000128,,0.000111,0.000145
58984.49995370349,0.0000935,,0.00008,0.000107
58991.49995370349,0.0000737,,0.000059,0.0000884
58998.49995370349,0.0000761,,0.0000601,0.0000921
59005.49995370349,0.0000543,,0.0000416,0.000067
59012.49995370349,0.0000588,,0.0000449,0.0000727
59019.49995370349,0.0000467,,0.000035,0.0000584
59026.49995370349,0.0000685,,0.0000532,0.0000838
59033.49995370349,0.0000602,,0.0000487,0.0000717
59040.49995370349,0.0000885,,0.0000751,0.000102
59047.49995370349,0.000065,,0.0000535,0.0000765
59054.49995370349,0.0000846,,0.0000704,0.0000988
59061.49995370349,0.000127,,0.000105,0.000149
59068.49995370349,0.000119,,0.0000978,0.00014
59075.49995370349,0.0000873,,0.0000724,0.000102
59082.49995370349,0.0000663,,0.000052,0.0000806
59089.49995370349,0.000064,,0.0000511,0.0000769
59096.49995370349,0.000079,,0.0000657,0.0000923
59103.49995370349,0.000116,,0.0000957,0.000136
59110.49995370349,0.0000712,,0.0000549,0.0000875
59117.49995370349,0.0000626,,0.0000476,0.0000776
59124.49995370349,0.0000378,,0.0000274,0.0000482
59131.49995370349,0.000055,,0.0000409,0.0000691
59138.49995370349,0.0000826,,0.0000693,0.0000959
59145.49995370349,0.0000674,,0.0000533,0.0000815
59152.49995370349,0.0000621,,0.0000491,0.0000751
59159.49995370349,0.0000583,,0.0000409,0.0000757
59166.49995370349,0.0000724,,0.0000568,0.000088
59173.49995370349,0.0000514,,0.0000378,0.000065
59180.49995370349,0.0000501,,0.000039,0.0000612
59187.49995370349,0.0000487,,0.0000378,0.0000596
59194.49995370349,0.0000355,,0.0000269,0.0000441
59201.49995370349,0.0000287,,0.0000185,0.0000389
59208.49995370349,0.0000318,,0.0000227,0.0000409
59215.49995370349,0.0000428,,0.0000314,0.0000542
59222.49995370349,0.0000159,,0.00000796,0.0000238
59229.49995370349,,0.000033,,
59236.49995370349,0.0000358,,0.0000228,0.0000488
59243.49995370349,0.0000435,,0.0000325,0.0000545
59250.49995370349,0.0000429,,0.0000315,0.0000543
59257.49995370349,0.0000397,,0.0000291,0.0000503
59264.49995370349,0.0000242,,0.0000127,0.0000357
59271.49995370349,0.0000302,,0.0000153,0.0000451
59278.49995370349,0.000121,,0.0000959,0.000146
59285.49995370349,0.0000871,,0.0000685,0.000106
59292.49995370349,0.0000687,,0.0000548,0.0000826
59299.49995370349,0.0000382,,0.0000275,0.0000489
59306.49995370349,0.0000535,,0.0000405,0.0000665
59313.49995370349,0.0000476,,0.0000331,0.0000621
59320.49995370349,0.0000641,,0.0000442,0.000084
59327.49995370349,0.0000689,,0.0000544,0.0000834
59334.49995370349,0.000083,,0.0000697,0.0000963
59341.49995370349,0.0000622,,0.0000483,0.0000761
59348.49995370349,0.000118,,0.0001,0.000136
59355.49995370349,0.0000688,,0.0000567,0.0000809
59362.49995370349,0.0000601,,0.0000461,0.0000741
59369.49995370349,0.0000692,,0.0000552,0.0000832
59376.49995370349,0.0000609,,0.0000465,0.0000753
59383.49995370349,0.0000492,,0.0000362,0.0000622
59390.49995370349,0.0000599,,0.0000455,0.0000743
59397.49995370349,0.0000675,,0.0000547,0.0000803
59404.49995370349,0.0000475,,0.0000357,0.0000593
59411.49995370349,0.0000563,,0.0000453,0.0000673
59418.49995370349,0.0000472,,0.0000366,0.0000578
59425.49995370349,0.0000486,,0.0000346,0.0000626
59432.49995370349,0.0000348,,0.0000212,0.0000484
59439.49995370349,0.0000355,,0.0000222,0.0000488
